Empresa,Area,Ubicacion,Descripcion
Sukarne,Agricultura / Pesca / Ganaderia,"Culiacan, Sinaloa","Desde hace mas de 48 anos, Grupo VIZ / SuKarne ha sido un factor clave en la transformacion de la industria carnica en Mexico y en el mundo, al mantener los mas altos estandares de calidad y perseguir la continua innovacion de sus procesos."
Grupo Herdez,Agricultura / Pesca / Ganaderia,"Miguel Hidalgo, Ciudad de Mexico DF","Somos lideres en el sector de alimentos procesados y uno de los principales actores en la categoria de helados en Mexico, y en el segmento de comida mexicana en los Estados Unidos."
"Marindustrias, S.A. de C.V.",Agricultura / Pesca / Ganaderia,"Colima, Colima","En Grupomar somos lideres en las actividades de pesca, servicios portuarios, industrializacion y comercializacion de alimentos de consumo masivo, mediante personal calificado y comprometido con una organizacion integrada verticalmente, con procesos y productos innovadores que a traves de estandares de calidad y competitividad genera valor para sus accionistas, empleados, clientes y proveedores, contribuyendo al desarrollo de su entorno."
International Private Security,Agricultura / Pesca / Ganaderia,"Azcapotzalco, Ciudad de Mexico DF","Como organizacion iniciamos actividades en 1995, teniendo como meta ofrecer Servicios Profesionales en Seguridad Patrimonial. Despues de cinco anos de experiencia conformamos las bases para crecer en congruencia con el mercado Internacional."
Agroservicios Nacionales SAPI de CV,Agricultura / Pesca / Ganaderia,"Guadalajara, Jalisco","Somos una empresa orgullosamente mexicana con mas cuarenta anos de experiencia en el campo, especializada en la induccion, desarrollo y comercializacion de tecnologia que contribuye a la solucion de problemas y la mejora del desempeno agricola en Mexico."
AVIGRUPO,Agricultura / Pesca / Ganaderia,---,"Avigrupo, somos una de las empresas de mayor exito en el campo de la avicultura a nivel nacional, con mas de 48 anos en el mercado."
KEKEN,Agricultura / Pesca / Ganaderia,"Merida, Yucatan","Keken es una empresa mexicana dedicada a la produccion y comercializacion de carne de cerdo. Nuestras operaciones estan totalmente integradas, pues abarcan desde el proceso reproductivo del cerdo hasta su distribucion en punto de venta a consumidores finales, a traves de la cadena de tiendas Maxicarne y un exportador relevante, para el mercado asiatico."
Promocom del Mayo S.A. de C.V.,Agricultura / Pesca / Ganaderia,"Navojoa, Sonora",Alimentos KOWI es una empresa dedicada a procesar y comercializar carne de cerdo y sus derivados a nivel Nacional y de Exportacion.
AGEBSA SA DE CV,Agricultura / Pesca / Ganaderia,"Matamoros, Tamaulipas","Empresa dedicada a la venta de refacciones y el otorgamiento de servicios para el sector agricola de la region, ubicada en esta ciudad desde hace mas de 20 anos."
Pickle Corporation S.P.R. de R.L.,Agricultura / Pesca / Ganaderia,"Guadalajara, Jalisco","Empresa dedicada a la siembra, venta y exportacion de pepinos"
