Empresa,Area,Ubicacion,Descripcion
PROA S.A.,Agricultura / Pesca / Ganaderia,"Santiago - Estacion Central, R.Metropolitana",Proa S.A. es un importante Holding de 5 empresas con 80 anos en el mercado.
Agrolujuma,Agricultura / Pesca / Ganaderia,"Santiago Centro, R.Metropolitana","Empresa industrial de carne, con carniserias de venta al pormayor y al detalle"
VIHEVAL SPA,Agricultura / Pesca / Ganaderia,"Santiago - Quinta Normal, R.Metropolitana","Fabricacion y comercializacion de productos carneos varios . Nos interesa entregar productods de alta calidad . Para esto ocupamos las mejores materias primas y nos esforzamos por tener un grupo humano capacitado , motivado y comprometido con la satisfaccion de nuestros clientes"
Inversiones y Asesorias Citrus Ltda,Agricultura / Pesca / Ganaderia,"Colina, R.Metropolitana",Empresa Importadora y comercializadora de productos de consumo masivo.
Mas Vida S.A,Agricultura / Pesca / Ganaderia,"Santiago Centro, R.Metropolitana",Agricultura y Comercializacion de productos a Supermercados y Restaurantes etc.
Comercial VPM SpA,Agricultura / Pesca / Ganaderia,"Isla de Maipo, R.Metropolitana","Consultora de recursos humanos especializada en la busqueda de profesionales y tecnicos del mundo Agricola y pecuario. Experiencia en seleccion, Outplacement y gestion de cambio en organizaciones familiares agricolas."
Agricola Chiviatella Ltda,Agricultura / Pesca / Ganaderia,"Longavi, Maule","Empresa Productora de Arandanos, Cerezas y Nueces. Esta vigente desde ya 15 anos. Nuestras Mision: Es producir fruta de calidad, para asi contribuir al desarrollo economico local."
AGRICOVIAL,Agricultura / Pesca / Ganaderia,"San Bernardo, R.Metropolitana","Agricovial, es una empresa productiva, dedicada a la explotacion avicola, lider en la industria de procesamiento de huevos, entrega seguridad alimentaria en todos los procesos productivos que requieran Huevo Liquido Pasteurizado."
Pesquera Mancilla,Agricultura / Pesca / Ganaderia,"Valparaiso, Valparaiso","Empresa Pesquera con una Larga Trayectoria, mas de 25 anos en el rubro Pesquero, certificada en normas HACCP."
Camanchaca Pescasur,Agricultura / Pesca / Ganaderia,"Coronel, Biobio",Empresa Pesquera
HORTITEC,Agricultura / Pesca / Ganaderia,"Santiago - Pudahuel, R.Metropolitana","Hortitec es una empresa especializada en la distribucion de productos para horticultura tecnica. En pocos anos de actividad nacional e internacional, ha progresado satisfactoriamente hasta convertirse en una de las organizaciones de referencia mas importantes del sector."
Arsabi Limitada,Agricultura / Pesca / Ganaderia,"Valparaiso, Valparaiso",Empresa de servicios ambientales y agricolas
Terraida,Agricultura / Pesca / Ganaderia,"San Rafael, Maule",Somos una empresa dedicada a la Agricultura y la Agroindustria de frutos secos. Comercializamos fruta propia y de terceros tanto en el mercado nacional como el internacional que es el mas fuerte. Tenemos operaciones en la region del Maule y en la region de O'higgins.
Agricola Arroyo Grande,Agricultura / Pesca / Ganaderia,"Santiago - Vitacura, R.Metropolitana","Agricola Arroyo Grande es una importante empresa del rubro de la agricultura y exportacion de berries y frutos secos, con presencia en distintos sectores a lo largo de Chile."
Planta Temuco,Agricultura / Pesca / Ganaderia,"Temuco, Araucania",Empresa con su casa matriz en Santiago. Es una procesadora y envasadora de subproductos carnicos en los principales frigorificos del pais. Con habilitacion directas para la exportacion de sus productos a los principales mercados del mundo.
Agroberries S.A.,Agricultura / Pesca / Ganaderia,"San Javier, Maule","Packing Proceso Arandanos Frescos. Servicios de Recepcion, almacenaje y despacho. Servicio de carga y descarga. Region del Maule San Javier de Loncomilla"
La Campestre,Agricultura / Pesca / Ganaderia,"San Vicente, Libertador B. O Higgins","Somos una creciente empresa dedicada a la comercializacion de alimentos bajo un modelo de de produccion responsable con las personas, los animales y el ambiente."
FED,Agricultura / Pesca / Ganaderia,"Rengo, Libertador B. O Higgins","Empresa del rubro agricola dedicada a la produccion y exportacion de diversas variedades de frutas, tales como cerezas, ciruelas, nectarines, uva y kiwi, entre otros, al mercado internacional."
Curtiembres Fischer C&F Ltda.,Agricultura / Pesca / Ganaderia,"Chillan, Biobio","Desde 1987, Curtidos Fischer se dedica a producir cueros vegetales de alta calidad. Poniendo a disposicion de los clientes una amplia gama de productos. Con mas de 30 anos en la industria y una tradicion familiar de curtidores de mas de 100 anos, Curtidos Fischer es considerada como una de las companias mas respetadas dentro de la industria de los cueros a nivel nacional."
Agricola e Inversiones Rio Duero II Spa,Agricultura / Pesca / Ganaderia,"Santiago - Huechuraba, R.Metropolitana","Este es un grupo de empresas que se dedican especificamente a la exportacion de fruta fresca, existe una exportadora, una Agricola, un frigorifico y una empresa de transportes."
NUTRIAL S.A,Agricultura / Pesca / Ganaderia,"Santiago - Independencia, R.Metropolitana","Nutrial S.A es una empresa agro industrial, dedicada a la produccion de alimentos para bovinos y monogastricos, con una planta en santiago y bodega en osorno."
La Rinconada,Agricultura / Pesca / Ganaderia,"Santiago - San Miguel, R.Metropolitana","Frigorifico La Rinconada reconocido en el rubro de Cecinas, en Santiago y regiones por su calidad y trayectoria."
