Empresa,Area,Ubicacion,Descripcion
Grupo Coris,Agricultura / Pesca / Ganaderia,"Cartago, Cartago","Corporativo, conformado por tres empresas de la Industria de Alimentos"
ASSUKKAR S.A,Agricultura / Pesca / Ganaderia,"Turrialba, Cartago","Empresa agroindustrial, 100% costarricense, dedicada al cultivo de cana de azucar organica y la produccion de sus derivados, tanto para venta nacional e internacional."
UPL COSTA RICA S.A.,Agricultura / Pesca / Ganaderia,"Alajuela, Alajuela",Somos una compania de agroquimicos que ofrece soluciones para su cultivo. Conoce mas sobre nuestra cartera de productos. La agroquimica es la especializacion de la quimica que consiste en el uso de sustancias organicas en el marco de una industria y en la aplicacion de productos quimicos (como plaguicidas y fertilizantes) en las actividades agricolas.
Industrias Bioquim,Agricultura / Pesca / Ganaderia,"El Guarco, Cartago","Empresa dedicada a la Manufactura de Agroquimicos, donde de formula, produce, envasa y se exporta productos para la agro Industria a toda la region centroamericana y el caribe."
Concentrados Gaston Fernandez Mora S.A.,Agricultura / Pesca / Ganaderia,"Oreamuno, Cartago","Empresa dedicada a la elaboracion de Alimentos Balanceados para Animales con presencia en todo el territorio nacional, para bovinos, cerdos, aves de engorde, aves de postura, mascotas"
Matadero Del Valle SA,Agricultura / Pesca / Ganaderia,"Alajuela, Alajuela",Servicio de matanza y venta de canales de res y de cerdo
"Vegetales Fresquita, S.A.",Agricultura / Pesca / Ganaderia,"El Guarco, Cartago","Empresa agroindustrial, dedicada a elaborar y distribuir productos vegetales higienicos que faciliten las operaciones diarias de negocios inmersos en el campo de la alimentacion y de los consumidores finales en general."
Via Agro S.A,Agricultura / Pesca / Ganaderia,"Alajuela, Alajuela",Nuestra empresa cuenta con mas de 15 anos de experiencia en importacion y distribucion de medicamentos e implementos veterinarios. Empresa del sector de ganaderia Venta mayorista.
La Vaca Muca SA,Agricultura / Pesca / Ganaderia,"San Carlos, Alajuela","Somos productores de cacao y chocolateros. Producimos el cacao en la zona de Upala, alla lo cosechamos, fermentamos bajo estrictos protocolos segun variedad, lo secamos y lo traemos a la Fortuna, donde esta nuestra fabrica y lo procesamos a chocolate."
Coopealajuela R.L,Agricultura / Pesca / Ganaderia,"Alajuela, Alajuela","Beneficiadora de cafe en Barrio La Trinidad de Alajuela, con mas de 45 anos en el mercado, ademas de contar con un campo santo unico en su genero en la ciudad de Alajuela."
Beneficio La Eva,Agricultura / Pesca / Ganaderia,"Valverde Vega, Alajuela","Dedicada a la Compra, Beneficiado y Exportacion de Cafe."
Nutrifert,Agricultura / Pesca / Ganaderia,"Alajuela, Alajuela",En Nutrifert Somos lideres en la region centroamericana en la distribucion de marcas certificadas en el area agricola y veterinaria.
Carnes Zamora S.A.,Agricultura / Pesca / Ganaderia,"Heredia, Heredia",Empresa dedicada a la distribucion de Carne de Cerdo
Exportadora,Agricultura / Pesca / Ganaderia,"Paraiso, Cartago",Empresa dedicada a la produccion y exportacion de flores y plantas ornamentales ubicada en Paraiso de Cartago.
