Empresa,Area,Ubicacion,Descripcion
FERMAGRI S.A.,Agricultura / Pesca / Ganaderia,"Guayaquil, Guayas","Importante empresa ubicada en el sector de Pascuales con matriz en el sector de Sangolqui, inicio sus actividades en el ano 1998."
NEOQUIM CIA LTDA,Agricultura / Pesca / Ganaderia,"Quito, Pichincha","Neoquim Cia. Ltda. es una empresa constituida en la ciudad de Quito dedicada a la produccion, suministros comercializacion, distribucion, representacion, compra y venta al por mayor y menor de toda clase de materias primas y productos de la industria quimica, agro quimica, veterinaria, para tratamientos de agua, entre otros."
Grupo Camaronero Vieracruz,Agricultura / Pesca / Ganaderia,"Guayaquil, Guayas","Productores de Camaron para Exportacion, siembra de larvas, cria y cosecha de Camaron para exportacion. Grupo Camaronero dedicado a la siembra y cosecha de camaron."
Grupo OCHGUE,Agricultura / Pesca / Ganaderia,"Quito, Pichincha","Importante empresa del sector comercial dedicada a la venta al por mayor y menor de productos relacionados con la actividad agricola, ubicada en el sector de San Vicente de Guayllabamba."
Flores del Lago Cia. Ldta.,Agricultura / Pesca / Ganaderia,"Deleg, Canar","Empresa dedicada a la Produccion, comercializacion y exportacion de rosas frescas cortadas a diferentes mercados nacionales e internacionales, nuestro trabajo esta orientado a la calidad de los productos."
Rosas de Mulalo Mulrosas Cia. Ltda.,Agricultura / Pesca / Ganaderia,"Latacunga, Cotopaxi","La empresa ha estado en el mercado desde 2005 y desde entonces, ha ido ganando importancia alrededor del mundo. De esta manera realiza una importante contribucion a la economia nacional, ya que la produccion y exportacion de flores es una actividad en desarrollo constante y con un futuro prometedor."
CR-FRUITS EXPORT S.A.,Agricultura / Pesca / Ganaderia,"Guayaquil, Guayas","Somos una empresa dedicada a la exportacion de Pulpa de fruta, Banano, Cacao en grano, Cacao en polvo, Camaron, Arroz y muchos mas productos disponibles para exportacion."
LA SELECTA,Agricultura / Pesca / Ganaderia,"Quito, Pichincha","Somos una empresa de productos de primera necesidad para el consumo humano con mas de 6 anos en el manejo administrativo y a la atencion al cliente cubriendo sus necesidades, trabajamos con productos variados, frescos, y economicos brindando un servicio de calidad."
Agroavicola Cia. Ltda,Agricultura / Pesca / Ganaderia,"Quito, Pichincha","Agroavicola Cia. Ltda esta presente en el mercado por mas de 20 anos, lo que nos permite conocer a profundidad de las necesidades del sector Avicola y asi cubrir las necesidades de nuestros clientes con una atencion personaliza y criterio tecnico."
DEPRODEMAR CIA. LTDA.,Agricultura / Pesca / Ganaderia,"Esmeraldas, Esmeraldas",DEPRODEMAR CIA. LTDA. se encuentra ubicada en la ciudad de Esmeraldas en las calles Panama y Los Rios. Se dedica a la Compra y Venta de pescado y camaron.
Produccion biotecnologia genetica y servicios agropecuarios Produbiogensa Cia Ltda.,Agricultura / Pesca / Ganaderia,"Mejia, Pichincha","Empresa de Comercializacion de productos famaceuticos veterinarios, Servicios de capacitacion produccion de semen Porcino y Bovino y servicios tecnicos especilizados."
Camaronera Paraiso,Agricultura / Pesca / Ganaderia,"Guayaquil, Guayas","Es una empresa solida, firmemente posicionada en el entorno nacional desde hace mas de 40 anos. Productores y Exportadores de camaron ecuatoriano participamos en el proceso desde la crianza hasta la pesca y exportacion del camaron."
INQUALITYEC S.A.,Agricultura / Pesca / Ganaderia,"Guayaquil, Guayas","Empresa que brinda servicios de implementacion, asesoria y capacitacion, enfocados en la inocuidad alimentaria y el sistema de gestion, normativas como: GLOBAL GAP, BPA, RAINFOREST, ORGANICAS, HACCP, BPM, ISO 9001:2015, ISO 14001:2015, ISO 45001:2018, etc."
AgriGenetic S.A.,Agricultura / Pesca / Ganaderia,"Mejia, Pichincha",Fundada en 1990 AgriGenetic Lider en el mercado de productos veterinarios y desarrollo genetico bovino.
Tuchok S.A.,Agricultura / Pesca / Ganaderia,"Guayaquil, Guayas","Empresa orientada a exportar Banano a paises como China, Europa y Rusia."
PEORIA S.A.,Agricultura / Pesca / Ganaderia,"Guayaquil, Guayas","Dedicados a la compra, venta y exportacion de cacao Lider Nacional en la produccion, beneficio y comercializacion del cafe y cacao generando valor agregado a todos nuestros clientes."
.Flores Ecuatorianas,Agricultura / Pesca / Ganaderia,"Cayambe, Pichincha",Empresa Dedicada a la Produccion y Exportacion de Flores Frescas
EQR EQUATOROSES,Agricultura / Pesca / Ganaderia,"Latacunga, Cotopaxi",EMPRESA FLORICOLA DEDICADA A LA PRODUCCION YEXPORTACION DE ROSAS DE LA MEJOR CALIDAD CONTAMOS CON UNA GRAN INFRAESTRUCTURA DE TRABAJO PARA EL MEJOR DESEMPENO DE LAS ACTIVIDADES.
Avicola Vitaloa S.A.,Agricultura / Pesca / Ganaderia,"Quito, Pichincha","Somos responsables de toda la cadena de produccion y comercializacion de aves de corral, contamos con mas de 20 anos en el sector avicola, siendo lideres y referentes a nivel nacional."
FLORAROMA SA,Agricultura / Pesca / Ganaderia,"Cayambe, Pichincha","Floraroma nace en el ano 2006, como una empresa orgullosamente ecuatoriana que se caracteriza por producir y ofrecer al mundo las mejores rosas de exportacion del Ecuador. Nuestra empresa se encuentra ubicada en Cayambe, al norte de la capital de Ecuador, Quito. A una altitud de 2.785 metros, sitio privilegiado para el cultivo de rosas de la mas alta calidad."
HISPANOROSES CIA LTDA,Agricultura / Pesca / Ganaderia,"Latacunga, Cotopaxi","Empresa dedicada a la produccion y exportacion de Rosas de alta calidad ubicada en la ciudad de Latacunga, parroquia Tanicuchi barrio Coba Santa Clara"
AGROBERRUZ S.A.,Agricultura / Pesca / Ganaderia,"Guayaquil, Guayas",
A&D SANCHEZ,Agricultura / Pesca / Ganaderia,"Ventanas, Los Rios","Empresa domiciliada en el canton Ventanas, provincia de Los Rios, dedicada a la importacion, exportacion, compra, venta, comercializacion y distribucion de productos e insumos agricolas."
LAN AEROFUMIGACION,Agricultura / Pesca / Ganaderia,"Guayaquil, Guayas",Empresa lider en fumigacion aerea con estandares de eficiencia con un servicio completo en control de plagas en plantaciones de banano. Producto de primera necesidad.
