Empresa,Area,Ubicacion,Descripcion
Grupo Tecun,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",Grupo TECUN
"Palki, S.A.",Agricultura / Pesca / Ganaderia,"Mixco, Guatemala",Palki nacio en 1984 como una empresa exportadora de yucca guatemalensis que buscaba incursionar en los mercados internacionales. Desde entonces el Izote y Pony han sido las plantas pilares que han permitido mostrar nuestra calidad y capacidad de operacion alrededor del mundo.
Mission South & Central America,Agricultura / Pesca / Ganaderia,---,"Empresa Agroindustrial, dedicada al cultivo y produccion de Palta y Frutales diversos para su exportacion. Actualmente en proceso de crecimiento y expansion."
Fertilizantes Nordic,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Corporacion con 13 anos en el mercado con presencia en Centroamerica, casa matriz en Guatemala, comercializadora de Fertilizantes al cluster agricola, aportando conocimiento en area de nutricion vegetal, asesoria tecnica, innovacion y calidad de productos bajo lineamientos eticos."
Nacional Agro Industrial S.A.,Agricultura / Pesca / Ganaderia,"Sayaxche, Peten","Somos una empresa dedicada a la produccion de aceite de palma africana realizando sus procesos de manera innovadora, sostenible e integrada construyendo asi un mundo limpio y saludable para el bienestar de todas las familias."
Dummen Orange,Agricultura / Pesca / Ganaderia,"San Miguel Duenas, Sacatepequez",Empresa que se dedica a la exportacion de esquejes de flores de diferentes variedades. Comprometida con las gente y principalmente con sus colaboradores.
"East-West Seed (Guatemala), S.A.",Agricultura / Pesca / Ganaderia,"Santa Lucia Milpas Altas, Sacatepequez","Empresa dedicada a la comercializacion, distribucion y desarrollo de semillas de hortalizas, enfocada al desarrollo de productores pequenos entregando semillas de alta calidad y desarrollo."
CODIFRUT- COMERCIALIZADORA Y DISTRIBUIDORA DE FRUTAS,Agricultura / Pesca / Ganaderia,"Usumatlan, Zacapa","Somos una empresa en el ramo agroindustrial, estamos produciendo vegetales y frutas frescas para consumo local y exportacion."
"Agropecuaria El Siglo, S.A.",Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala",EMPRESA AGRICOLA CON DIVERSIDAD DE FINCAS Y CULTIVOS
Nutritec,Agricultura / Pesca / Ganaderia,"Fraijanes, Guatemala",Estamos dedicados a la venta de materia prima y aditivos para concentrados para alimento animal. Tambien nos dedicamos a la produccion de farmacos para animales.
Frutexpo S.A,Agricultura / Pesca / Ganaderia,"Guatemala Ciudad, Guatemala","Somos una prestigiosa Empresa Guatemalteca generadora de Productos Agricolas con vision de crecimiento, que ofrece fuentes de empleo a nivel nacional."
