Empresa,Area,Ubicacion,Descripcion
Alimentos de Cortes,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Alimentos de Cortes S.A. de C.V. es una empresa dedicada a la Produccion de Alimentos (Jugo Florida, Lacteos mi Vaca). Cuenta con sucursales a Nivel Nacional."
Agroindustrias Del Corral,Agricultura / Pesca / Ganaderia,"Siguatepeque, Comayagua",Somos una empresa de solido prestigio dedicada al procesamiento y venta de productos carnicos lideres a nivel nacional. Con procesos de alta calidad que garantizan un producto inocuo.
Aquafeed S.A. de C.V.,Agricultura / Pesca / Ganaderia,"San Francisco de Yojoa, Cortes",Elaboracion y fabricacion de alimento concentrado para animales
"FORAGRO HONDURAS, S.A.",Agricultura / Pesca / Ganaderia,"Taulabe, Comayagua","Fundada en 1988 por un grupo de emprendedores con un fin en comun, ""Promover el desarrollo agricola de la region,comprometiendose con el agricultor a traves de productos innovadores y de calidad""."
PROAGRO,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Somos una empresa que se dedica a la elaboracion y comercializacion de fertilizantes y productos agroquimicos,estamos en toda la region Centroamerica ofreciendo productos de calidad a nuestros clientes."
Procasa,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",La empresa fabricacion pallets madera y agricultura
Profil Honduras S.A.,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Somos una empresa que se dedica a la venta de producto para sector pecuario (cerdo, aves y bovinos. Tenemos una filiar en Tegucigalpa y Guatemala, nuestra matriz esta en el Salvador. Estamos en Honduras desde el ano 1998."
Mercon Honduras,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",Mercon Honduras (CIGRAH)
Corporacion Industrial de Sula,Agricultura / Pesca / Ganaderia,"Choloma, Cortes","Somos una empresa dedicada a la extraccion de aceite de palma africana, tambien nos dedicamos a la importacion y exportacion de la misma, somos una empresa que se preocupa por el bienestar de sus empleados."
DON DOMINICO SA DE CV,Agricultura / Pesca / Ganaderia,"Danli, El Paraiso","Somos una empresa productora de tomates con calidad exportacion, ubicados en Danli."
Honduraschips Manufacturing S.A. de C.V.,Agricultura / Pesca / Ganaderia,"Comayagua, Comayagua",Somos una empresa dedicada a la exportacion de snaks al extranjero llevando mas de 10 anos en el rubro.
MEGA DISTRIBUIDORA AVICOLA S.A,Agricultura / Pesca / Ganaderia,"Distrito Central, Francisco Morazan","Somos una empresa enfocada en la atencion del cliente, diferenciandonos por la comercializacion de un huevo fresco e higienico producido en fincas tecnificadas; utilizando los mejores canales de distribucion, promoviendo el desarrollo de nuestro recurso humano a traves de programas de capacitacion, por la aplicacion de procesos tecnologicos que contribuyen a una optimizacion de los recursos; fomentando una cultura organizacional orientada en valores y cuidado del medio ambiente."
"Profil, S.A. de C.V.",Agricultura / Pesca / Ganaderia,Comayagua,Somos una empresa dedicada a la venta de producto para el sector agropecuario a nivel centroamericano
Procesadora Guangolola de Carnes,Agricultura / Pesca / Ganaderia,"Villanueva, Cortes","PROGCARNE, es una Procesadora y criadora de productos de origen animal, los cuales estan considerados dentro de la canasta basica, ademas estando nuestras producciones y explotaciones dentro del rubro de agricultura. Nuestra Mision Mantener un Activo liderazgo nacional y fortalecer nuestra participacion en el mercado internacional mediante el suministro de productos carnicos de la mas alta calidad, la prestacion de servicios eficientes y la atencion permanente en toda la industria de la region. Nuestra Vision Consolidarse como una empresa innovadora, creciente y economicamente exitosa, inspirada por un moderno espiritu de calidad de avance tecnologico. en un modelo empresarial reconocido y en una fuente de desarrollo para el pais y la humanidad"
Cultimarine SAC,Agricultura / Pesca / Ganaderia,Extranjero,Empresa dedicada al cultivo y criadero de conchas de abanico y tilapia para su exportacion.
Cosmocel,Agricultura / Pesca / Ganaderia,Comayagua,"Cosmocel es una empresa importante internacionalmente enfocada al giro de la Agricultura fundada desde 1960 con una vision de satisfacer repetidamente y siempre las expectativas de nuestros clientes, con calidad total, valor agregado y velocidad de respuesta que cumpla y supere sus expectativas."
"Agroindustrial de Zacapa, S.A.",Agricultura / Pesca / Ganaderia,Comayagua,"Empresa dedicada a la produccion y exportacion de pepinos y sandias para el mercado de USA. Ubicada en Jalapa, Guatemala. Oportunidad de empleo es en Jalapa, Guatemala."
Agroinsdustria Golden Van AR de IC,Agricultura / Pesca / Ganaderia,Extranjero,"Empresa dedicada a la Agricultura 100% al cultivo y comercializacion de pina cayena y MD2. Con mas de 50 anos de experiencia en el mercado mexicano. Actualmente sembramos, cosechamos y empacamos el productos nos encontramos en tiendas como Costco, Sams, Soriana etc. Nuestra razon de ser es ofrecer a nuestros Clientes Pina con la Maxima Calidad del mercado. Con Experiencia, Desarrollo y Avance Constante."
Proyecto Actividades Acuicolas en el Golfo de Fonseca,Agricultura / Pesca / Ganaderia,"San Lorenzo, Valle","El proyecto tienen como Objetivo General: Contribuir en la Mejora de la calidad de vida de los pescadores/as artesanales del Golfo de Fonseca promoviendo iniciativas productivas sostenibles y amigables con el medio ambiente, las areas de actuacion son 7 municipios costeros del Golfo de Fonseca-Honduras. Objetivos especificos: Desarrollar alternativas economicas sostenibles y amigables con el medio ambiente mediante el fortalecimiento de Jovenes y Mujeres prioritariamente por medio de la formacion, complementada con insumos/materiales/equipos, fortaleciendo el engranaje economico del de las comunidades de Golfo de Fonseca, logrando el empoderamiento y conocimiento de los derechos y deberes de cada uno de ellos en sus ambitos de desarrollo, Aumentando y diversificar los ingresos de pescadores/as artesanales y sus medios de alimentacion. Aumentar las capacidades y la organizacion social de los pescadores/as y de las instituciones contrapartes para el logro de una mayor participacion e incremento de su capacidad productiva y de actuacion. Contribuir a la investigacion, desarrollo e implementacion de proyectos productivos con especies nativas de alto valor comercial (pargo, robalo, corvino) con la finalidad de repoblar y poder ejercer en el corto y mediano plazo la acuicultura como alternativa para el sector pesquero artesanal. Apoyar la mejora de las embarcaciones (Instalacion de cavas y lonas) de los pescadores/as para lograr mermar el dano que se produce en el pescado por el mal proceso en la cadena de frio."
Grupo Granjas Marinas,Agricultura / Pesca / Ganaderia,"Choluteca, Choluteca","Somos una empresa que Cultiva, Procesa y Comercializa productos acuaticos con las mas alta Calidad y competitividad, satisfaciendo los requerimientos de nuestros clientes a traves de una Politica de Mejora Continua enfatizando la sostenibilidad Ambiental e Inocuidad de nuestros productos y servicios."
Agro-exportadora DOME,Agricultura / Pesca / Ganaderia,"Comayagua, Comayagua","Agro-exportadora dome, es una empresa dedicada al cultivo, comercializacion y exportacion de vegetales orientales, tuberculos, y similares, estamos establecidos desde hace 6 anos, y nuestros mercado es USA, Canada, y ahora entrando al mercado de Holandez."
"Xoco, SA de CV.",Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Somos una empresa que se dedica a la produccion de cacao, para mayor referencia visitar wwww.xocogourmet.com"
Inversiones Honduras,Agricultura / Pesca / Ganaderia,"Esparta, Atlantida","Distribuidora en productos agricolas, derivados de lacteos Somos una organizacion sostenible de pequenos productores y productoras agricolas con enfoque empresarial que presta servicios de comercializacion, ofertando al mercado productos de calidad."
AGRO NEGOCIOS S.A,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",EMPRESA TRANSNACIONAL UBICADA EN HONDURA. DEDICADA A LA COMERCIALIZACION DE PRODUCTOS PARA EL CAMPO CON EL FIN DE BRINDAR NUTRICION VEGETAL A SUS CULTIVOS Y GARANTIZAR LA MEJOR CALIDAD EN SUS PRODUCTOS.
BIO LARVA AQUACULTURE,Agricultura / Pesca / Ganaderia,"Marcovia, Choluteca","Bio Larva Aquaculture S.A. es una empresa acuicola que esta localizada en el Golfo de Fonseca, Municipio de Marcovia, Departamento de Choluteca. Fue fundada en el ano 2008 como un nuevo negocio de acuacultura marina con la idea de innovar en el mercado de post larvas de camaron a traves de uso de Biotecnologia acuatica, enfocada en hacer de los procesos complicados masfaciles de realizar e ir creciendo de acuerdo a la demanda estimada. Es una empresa asociada a la innovacion y al desarrollo de tecnologias. Su diseno y comercializacion estan orientados completamente al cliente."
"CRAFTOP, S.A.",Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Fundada en 2002, CRAFTOP cuenta con su propia marca donde fabrica y disena maquinaria agricola y de jardin, para clientes en mas de 30 paises, entre los que se encuentran: Reino Unido, Espana, Francia, Alemania, Estados Unidos, Dubai y Brasil."
Sermisa ( Grupo Jaremar ),Agricultura / Pesca / Ganaderia,"Tela, Atlantida","Sermisa, empresa lider dedicada al cultivo y produccion de palma aceitera y fruta fresca de palma, empresa lider del (GRUPO JAREMAR), fundada en 1994 por Tela Rail Road Company."
Cafes Finos de Exportacion,Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes","Caffex is a company based in Honduras that exports green coffees of superior qualities and consistencies to 21 countries around the world. Coffees are sourced from independent, organized producers and intermediaries around Honduras. Since its beginning, the company established transparent relations with its supply chain. Everyday, Caffex works together with producing communities to improve methods of producing, processing and supplying. This alliance has created social and economic impacts among producers, as well as a superior cup."
Foragro Honduras,Agricultura / Pesca / Ganaderia,Cortes,"Nos dedicamos a la elaboracion, distribucion y venta de productos agroquimicos en toda la region. Nuestro objetivo principal es satisfacer al cliente segun sus necesidades mediante la linea de productos especializados que tenemos. Somos una empresa con mas de 25 anos en el mercado, lider en nuestro ramo."
"Proteina, S.A",Agricultura / Pesca / Ganaderia,"San Pedro Sula, Cortes",Somos una empresa dedicada a la produccion de alimentos para la nutricion animal.
Farm 4 Limited,Agricultura / Pesca / Ganaderia,Cortes,"Farm 4 Limited es una finca del grupo de Eugene Zabaneh Enterprise se dedica a la produccion de banano de exportacion en el Sur de Belize en 3 fincas bananeras, con mas de 20 anos de presencia en Belize. Miembro de BGA Belize (Banana Growers Association)."
Cosmocel SA,Agricultura / Pesca / Ganaderia,---,"Cosmocel es una empresa Mexicana, localizada en la ciudad de Monterrey, Nuevo Leon, Mexico. Dedicada desde su fundacion en 1960, a la produccion y comercializacion de productos de especialidad en el sector de la NUTRICION VEGETAL, para los mercados horticola, fruticola, ornamental y de granos."
Pioneer,Agricultura / Pesca / Ganaderia,Extranjero,Semillas Hibridas de Maiz y Sorgo
