Empresa,Area,Ubicacion,Descripcion
La Montana S.A.,Agricultura / Pesca / Ganaderia,"Villa Sandino, Chontales",La Montana S.A. nace en 1994 en Nicaragua con 30 trabajadores.
Grupo Seajoy,Agricultura / Pesca / Ganaderia,"Chinandega, Chinandega","Somos una empresa dedicada al cultivo, procesamiento y comercializacion de camaron bajo altos estandares de calidad e inocuidad, superando las expectativas de nuestros clientes a traves de una politica de mejora continua, estando a la vanguardia de nuevas tecnologias, impulsando el desarrollo del recurso humano, contribuyendo a la conservacion del medio ambiente y mejoramiento social."
Mercon Coffee Group,Agricultura / Pesca / Ganaderia,"Managua, Managua","Mercon ha crecido hasta convertirse en una de las 10 companias mas relevantes en comercializacion de cafe en el mundo, con operaciones de exportacion en Honduras, Nicaragua, Guatemala, Brasil, Vietnam, y mas reciente en Etiopia; tambien contamos con oficinas de representacion en Estados Unidos, Espana y Vietnam. El grupo actualmente cuenta con mas de 650 empleados permanentes, con la mayoria basados en Nicaragua brindando soporte al resto de unidades de negocio, desde areas como logistica, trafico, y tecnologia de la informacion."
GINSA,Agricultura / Pesca / Ganaderia,"Villa El Carmen, Managua",Somos una empresa dedicada a la comercializacion de proteina de calidad que sea accesible para todas las familias del mundo.
RECLUTAMIENTO ESPECIALIZADO,Agricultura / Pesca / Ganaderia,"Juigalpa, Chontales",Grupo especializado en Reclutamiento de personal y Capacitaciones.
LACTOLAC,Agricultura / Pesca / Ganaderia,"Mateare, Managua",Comercializadora Productos Consumo Masivo
Caravela Nicaragua,Agricultura / Pesca / Ganaderia,"Ocotal, Nueva Segovia","Empresa multinacional dedicada a la compra de cafes de calidad a nivel latinoamericano, a la exportacion e importacion de cafe, brindando asesoria tecnica especializada y de alta calidad a los productores de las regiones para ofrecer un producto de calidad a los tostadores mas reconocidos a nivel mundial"
Florana Farms S.A,Agricultura / Pesca / Ganaderia,Managua,"Florana Farms S.A. produce una amplia gama de rosas super premium, follajes, flores tropicales y de bambu. Fundada hace 20 anos, somos una empresa dinamica e innovadora ecuatoriana que ofrece productos de alta calidad con los avances tecnologicos y la aplicacion de elementos organicos que protegen no solo a nuestros trabajadores, sino tambien el medio ambiente."
Foragro Nicaragua,Agricultura / Pesca / Ganaderia,"Managua, Managua","Nos dedicamos a la elaboracion, distribucion y venta de productos agroquimicos en toda la region. Nuestro objetivo principal es satisfacer al cliente segun sus necesidades mediante la linea de productos especializados que tenemos. Somos una empresa con mas de 25 anos en el mercado, lider en nuestro ramo."
Exportadora Atlantic S.A,Agricultura / Pesca / Ganaderia,"Managua, Managua","ECOM Agroindustrial Corp. Ltd es una compania de comercio mundial de productos basicos, que se especializa en cafe, el algodon y el cacao en los principales paises productores y consumidores, con auxiliares de las operaciones agricolas en las semillas oleaginosas. En nuestro pais, la empresa se dedica principalmente al procesamiento y exportacion de cafe y cacao bajo el nombre de Exportadora Atlantic S.A."
