Empresa,Area,Ubicacion,Descripcion
Agro Tres,Agricultura / Pesca / Ganaderia,"Atalaya, Veraguas","Almacen Agropecuario ubicado en Plaza San Antonio, Corregimiento de Atalaya, Provincia de Veraguas, Republica de Panama dedicado a la venta de productos agricolas, veterinarias, alimentos y mascotas"
Hiedra y Bambu,Agricultura / Pesca / Ganaderia,"Panama, Panama",Mantenimiento y Construccion de Jardines. somos una empresa dedicada a la jardineria en todo el territorio nacional. requerimos personal que quiera unirse a nuestro equipo de trabajo.
"Agro Pro Panama, S. A.",Agricultura / Pesca / Ganaderia,"Panama, Panama","Agro Pro Panama, S.A. es una empresa Distribuidora de productos Fitosanitarios, Equipo Agricola, Sistemas de Riego, productos veterinarios, cercas electricas, lubricantes y otros."
PROCESADORA BAYANO S.A.,Agricultura / Pesca / Ganaderia,"Chepo, Panama",Ubicada en la Region de Chepo - Puerto Coquira se encuentra la compania Industria Pesquera del Mar S.A.
PANALAVAL S.A,Agricultura / Pesca / Ganaderia,"Nata, Cocle","Empresa del ramo agropecuario dedicada a la venta, instalacion y mantenimiento de equipos de ordeno."
Carnes Pomarosa Panama,Agricultura / Pesca / Ganaderia,"David, Chiriqui","Nuestra empresa desde el 2011 ofrece a su clientes carnes procesada de las razas Angus, Bradford, existen dos puntos de ventas uno en Chiriqui y uno en la ciudad capital San Francisco, entregas en carros refrigerados a restaurantes, supermercados, hoteles."
Ecolatec c.a.,Agricultura / Pesca / Ganaderia,Extranjero,Empresa dedicada a la comercializacion y distribucion de tecnologia agricola ecologica. Especializada en equipos solares para el control de plagas en cultivos agricolas.
Casa Digital,Agricultura / Pesca / Ganaderia,Panama,Empresa dedicada a la venta de equipos de pesaje de uso comercial e industrial.
La Perla,Agricultura / Pesca / Ganaderia,"Panama, Panama","Somos una empresa dedicada al servicio del diseno de jardines, venta de plantas e instalacion de riego y drenaje entre otros."
Cooperativa agrocomercializadora central,Agricultura / Pesca / Ganaderia,Extranjero,"Agrocen es una cooperativa dedicada a la comercializacion de frutas y hortaizas en colombia, y busca explorar nuevos mercados en panama"
Jardines Santa Fe,Agricultura / Pesca / Ganaderia,Extranjero,"Jardines Santa Fe Somos una empresa dedicada a la construccion de jardines, sistemas de riego, rescate y trituracion."
Netafim Panama,Agricultura / Pesca / Ganaderia,"Panama, Panama",Netafim es la empresa lider a nivel mundial en brindar soluciones inteligentes de Riego por Goteo.
Florana Farms S.A,Agricultura / Pesca / Ganaderia,Colon,"Florana Farms S.A. produce una amplia gama de rosas super premium, follajes, flores tropicales y de bambu. Fundada hace 20 anos, somos una empresa dinamica e innovadora ecuatoriana que ofrece productos de alta calidad con los avances tecnologicos y la aplicacion de elementos organicos que protegen no solo a nuestros trabajadores, sino tambien el medio ambiente."
Forestal Dang,Agricultura / Pesca / Ganaderia,"Changuinola, Bocas del Toro","Empresa dedicacda al sector forestal , evaluacion de impacto ambiental, desarrollo comunitario,construccion"
Finca Pomarosa,Agricultura / Pesca / Ganaderia,Chiriqui,Finca dedicada a la Produccion e industrializacion de Carne Bovina.
Empresas Moreno,Agricultura / Pesca / Ganaderia,"Chitre, Herrera","Piladora La Estrella S.A, forma parte del grupo EMPRESAS MORENO, dedicado a la venta de productos alimenticios para Ganado, Equinos , Aves, Cerdos y Conejos mas su reconocida linea veterinaria de Laboratorios ERMA de Colombia."
"Avicola Trofarello, S.A.",Agricultura / Pesca / Ganaderia,Panama,"Empresa agropecuaria dedicada a ceba de pollos, cultivo de pina, cria de ganado simental y simbra y cria de caballos de paso y alta escuela."
Tecnovit,Agricultura / Pesca / Ganaderia,"Panama, Panama",Somos una empresa enfocada a la distribucion y comercializacion de productos y servicios dentro de la rama de salud y nutricion animal.
