Empresa,Area,Ubicacion,Descripcion
Reclutamiento Ejecutivo,Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Proveemos soluciones de operacion a nuestros clientes buscando la optimizacion, maxima eficiencia en sus operaciones y diferenciacion en su servicio para el desarrollo de su negocio."
"Profilaxis, S.A. DE C.V.",Agricultura / Pesca / Ganaderia,"Colon, La Libertad","Grupo Profil ofrece a los productores de la Industria Pecuaria, alternativas de productos y servicios oportunos, a traves de programas preventivos y curativos que mejoren la calidad de vida de los animales sugiriendo optimas medidas de bioseguridad y profilaxis para que estos alcancen el maximo rendimiento economico y por consiguiente la competitividad y rentabilidad necesaria para hacer frente a los cambios en el entorno de la region Centroamericana"
"AGROSERVICIO EL SURCO, S.A DE C.V",Agricultura / Pesca / Ganaderia,"Nueva San Salvador, La Libertad","Somos una empresa familiar, con una larga tradicion de honestidad y responsabilidad, establecida hace mas de 40 anos por nuestra fundadora Ana Vilma Chavez de Barton, con una filosofia muy clara, cuyas lineas de trabajo estan plasmadas en nuestra Mision y Vision."
"Zamorano Group, S.A. de C.V.",Agricultura / Pesca / Ganaderia,"San Miguel, San Miguel","Zamorano Group S.A de C.V cuenta con 17 anos de experiencia ofreciendo un amplio catalogo de productos en diferentes rubros, especialmente en el area de agricultura/ganaderia y en ferreteria, abarcando grandes marcas en concentrados, herramientas, materia prima para edificaciones y mas, los cuales pueden solucionar sus demandas en cualquier trabajo relacionado con los diversos sectores como construccion, jardineria, fontaneria, electricidad e instalaciones de todo tipo."
"Odyssey Coffees, Ltda. de C.V.",Agricultura / Pesca / Ganaderia,"San Salvador, San Salvador","Somos una empresa dedicada al rubro de la caficultura, elaboracion de productos de cafe, cultivo de cafe, servicio de beneficio de cafe, Exportacion de cafe oro entre otros."
"Nutricion Avicola, S.A de C.V",Agricultura / Pesca / Ganaderia,"Colon, La Libertad","Somos una empresa salvadorena con anos de experiencia en el sector avicola dedicado a la produccion de huevos, brindando al pueblo salvadoreno la mejor calidad en nuestro producto."
ASTAS,Agricultura / Pesca / Ganaderia,"Soyapango, San Salvador","Asociacion cooperativa de solido prestigio, dedicada a promover proyecto en pro de nuestros asociados en distintos rubros como son: trabajos agricolas, despensas y almacenes, cafeterias, etc."
"Avicola Mejia, S.A. de C.V.",Agricultura / Pesca / Ganaderia,"Colon, La Libertad","Somos una empresa del sector avicola con mas de diez anos en el mercado, siendo nuestra principal actividad economica la cria y venta de aves de corral"
"Compania Azucarera Salvadorena, S.A de C.V.",Agricultura / Pesca / Ganaderia,"Izalco, Sonsonate","Compania Azucarera Salvadorena, S.A. de C.V. es una empresa agroindustrial con mas de 45 anos de experiencia en la produccion y comercializacion de azucar y subproductos derivados de la cana. Nuestros productos actuales son: azucar crudo, azucar blanco, azucar refino, melaza y energia electrica los cuales cumplen con los requisitos de calidad de los mercados mas exigentes."
Grupo Calvo,Agricultura / Pesca / Ganaderia,"Aguilares, San Salvador","El Grupo Calvo es una compania de capital 100% espanol, dedicada a la pesca, produccion y comercializacion de conservas de pescado de alta calidad. A traves de sus distintas actividades, el Grupo Calvo opera en los cinco continentes. La integracion vertical de todos los eslabones de la cadena de valor es el atributo que define, de forma rotunda y permanente al Grupo Calvo, con el unico objetivo de satisfacer cada dia a un mayor numero de consumidores."
"VILLAVAR, S.A. DE C.V.",Agricultura / Pesca / Ganaderia,"Opico, La Libertad","EMPRESA LIDER EN EL MERCADO DE DISTRIBUCION DE PRODUCTOS AGRICOLAS, FERRETERIA, VETERINARIA. LAS CUALES INCLUYEN VENTAS AL DETALLE QUE LO HACE A TRAVES DE SUS TIENDAS Y VENTAS AL MAYOREO."
cafes especiales de el Salvador,Agricultura / Pesca / Ganaderia,"La Libertad, La Libertad","Somos una empresa dedicada al cultivo, procesamiento y venta de cafe tostado y molido. Cafe con atributos y calidad invariable. Nos distinguimos por proyectar un desarrollo social y economico sostenible para todos nuestros empleados."
Bonkaffe Lenka,Agricultura / Pesca / Ganaderia,"San Miguel, San Miguel","Bonkaffe Lenka es una empresa dedicada a la produccion y comercializacion de cafe organico tostado y molido. Bonkaffe Lenka es una marca registrada que cuenta con las autorizaciones respectivas del MINSAL que nos acreditan como una empresa que cuida los estandares de calidad, nuestro cafe no presenta ningun aditivo quimico que altere su composicion natural. Nuestra marca esta comprometida con el medio ambiente, sus bolsas de polipropileno son facilmente reciclables ademas estas bolsas protegen nuestro producto contra la contaminacion exterior ya sea por humedad, vapores, etc."
