Empresa,Ciudad,Departamento,Telefono,Direccion,Actividad
Agroindustrias Nuevo Horizonte Uraba Zomac S A S,CAREPA,ANTIOQUIA,3147917997,URBANIZACION LOS ALMENDROS CASA 67 Cómo llegar,Cultivo de platano y banano
Avidesa Mac Pollo S A,BOGOTA,BOGOTA,(1)3693300,CARRERA 34 19A 69 Cómo llegar,Cria de aves de corral
Colagrovet S A S,BARRANQUILLA,ATLANTICO,(5)3002389,CARRERA 46 74 16 PI 3 Cómo llegar,Actividades de apoyo a la agricultura
Comercializadora Internacional Sunshine Bouquet Colombia S A S,BOGOTA,BOGOTA,(1)7452330,VIA A COTA KM 4 Cómo llegar,Cultivo de flor de corte
Avidesa De Occidente S A,BUGA,VALLE,(2)3923010,VIA BUGA TULUA KILOMETRO 3 Cómo llegar,Cria de aves de corral
Campollo S A S,FLORIDABLANCA,SANTANDER,(7)6977830,LUGAR KILOMETRO 2 176 ANILLO VIAL Cómo llegar,Cria de aves de corral
Agropecuaria Aliar S A,FLORIDABLANCA,SANTANDER,(7)6186888,CALLE 29 25 72 CENTRO COMERCIAL CANAVERAL EDIFICIO URBANAS PISO 3 Y 4 Cómo llegar,Cria de ganado porcino
Incubadora Santander S A,PIEDECUESTA,SANTANDER,(7)6430036,CARRERA 15 3 A N 50 TORRE EMPRESARIAL CENTRO COMERCIAL DELACUESTA ACCESO TRES PISO 10 Cómo llegar,Cria de aves de corral
Distribuidora Avicola S A S,GIRON,SANTANDER,(7)6797970,CARRERA 17 60 170 AUTOPISTA PALENQUE CHIMITA Cómo llegar,Cria de aves de corral
Avicola Los Cambulos S A,BOGOTA,BOGOTA,(1)7470401,CALLE 10 A 68 B 26 Cómo llegar,Cria de aves de corral
Empolladora Colombiana S A,BOGOTA,BOGOTA,(1)7442840,CALLE 110 9 25 OF 1711 Cómo llegar,Cria de aves de corral
Servicios Agricolas Del Risaralda S A S,LA VIRGINIA,RISARALDA,(6)3679230,CALLE 13 7 A 17 BARRIO BALSILLAS Cómo llegar,Cultivo de caña de azucar
Avicola Colombiana S A Avicol,BOGOTA,BOGOTA,(1)3003145,CALLE 26 68 C 61 OF 527 TO DAVIVIENDA Cómo llegar,Cria de aves de corral
Flores El Capiro S A,MEDELLIN,ANTIOQUIA,(4)4489310,CALLE 11 A 31 A 89 OF 602 Cómo llegar,Cultivo de flor de corte
Comercializadora Internacional Antillana S A C I Antillana S A,CARTAGENA,BOLIVAR,(5)6932427,VIA MAMONAL 1 274 ALBORNOZ Cómo llegar,Pesca maritima
Pollo Olimpico S A,BOGOTA,BOGOTA,(1)7562000,CARRERA 79 D 16 C 51 Cómo llegar,Cria de aves de corral
Santa Reyes S A S,BOGOTA,BOGOTA,(1)2264161,AVENIDA SUBA 103B 21 Cómo llegar,Cria de otros animales n c p
Jardines De Los Andes Sas,BOGOTA,BOGOTA,(1)3238040,AVENIDA CARRERA 19 97 31 OF 206 Cómo llegar,Cultivo de flor de corte
Agricola Santamaria S A S,APARTADO,ANTIOQUIA,(4)3197060,LUGAR SALIDA HACIA TURBO BODEGAS TROPYCENTRO APARTADO KILOMETRO 1 Cómo llegar,Cultivo de platano y banano
Pic Colombia S A S,ENVIGADO,ANTIOQUIA,3104261229,CARRERA 48 26 SUR 181 LC 101 Cómo llegar,Cria de ganado porcino
Mg Consultores S A S,BOGOTA,BOGOTA,(1)3222725,CALLE 19 5 30 OF 2201 EDIFICIO BD BACATA Cómo llegar,Cultivo de flor de corte
Agroindustrial San Jose S A Agrinsa,MANIZALES,CALDAS,(6)8812292,CARRERA 27 49 25 BARRIO EL CAMPIN Cómo llegar,Cria de aves de corral
Avimol S A S,BUCARAMANGA,SANTANDER,(7)6468478,AVENIDA GONZALEZ VALENCIA 54 78 Cómo llegar,Cria de aves de corral
Agricola Himalaya S A,YUMBO,VALLE,3122713106,CALLE 15 31 A 19 BODEGAS 1 2 Y 3 Cómo llegar,Cultivo de plantas con las que se preparan bebidas
C I Piscicola Botero S A,BOGOTA,BOGOTA,(1)8007056,CARRERA 68 B 24 A 64 TORRE 2 802 Cómo llegar,Acuicultura de agua dulce
Agroinversiones Bananeras Del Caribe S A S,SANTA MARTA,MAGDALENA,(5)4358330,TRANSVERSAL DEL CARIBE LC 7 Cómo llegar,Cultivo de platano y banano
Empresa Colombiana Agropecuaria Sas,BOGOTA,BOGOTA,(1)3481560,CALLE 62 21 21 Cómo llegar,Otros cultivos permanentes n c p
Avicola Santa Rita S A S,CALI,VALLE,(2)4423343,CALLE 54 9 36 BODEGA 3 Cómo llegar,Cria de aves de corral
C I Maxiflores S A S,BOGOTA,BOGOTA,(1)8246004,CALLE 30 A 6 22 OF 3101 Cómo llegar,Cultivo de flor de corte
Setas Colombianas Setas S A,MEDELLIN,ANTIOQUIA,(4)3117315,CARRERA 43 A 1 A SUR 143 PISO 6 TORRE NORTE ED SANTILLANA Cómo llegar,Cultivo de hortalizas raices y tuberculos
Gestiones Y Representaciones Chia Sas,BOGOTA,BOGOTA,(1)3222725,CALLE 19 5 30 OF 2201 ED BD BACATA Cómo llegar,Actividades de apoyo a la agricultura
Kakaraka S A S,ITAGUI,ANTIOQUIA,3122962984,CALLE 85 50 50 BG 107 Cómo llegar,Cria de aves de corral
Flores La Mana S A S,BOGOTA,BOGOTA,(1)3222725,CALLE 19 5 30 OF 2201 EDIFICIO BD BACATA Cómo llegar,Cultivo de flor de corte
Comercializadora Internacional Flores De Funza S A S,BOGOTA,BOGOTA,(1)4320340,CALLE 72 10 07 OF 601 Cómo llegar,Cultivo de flor de corte
Palmeras De La Costa S A,BARRANQUILLA,ATLANTICO,(5)3100110,CALLE 75 CR 59 69 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
C I Calla Farms S A S,RIONEGRO,ANTIOQUIA,(4)4600464,VEREDA EL HIGUERON Cómo llegar,Cultivo de flor de corte
Maria Eugenia Velasco De Acevedo Y Compania Sas,CALI,VALLE,3186954819,CARRERA 8 11 65 OF 201 Cómo llegar,Cultivo de caña de azucar
Fantasy Flowers S A S,BOGOTA,BOGOTA,(1)3222725,CALLE 19 5 30 OF 2201 EDIFICIO BD BACATA Cómo llegar,Cultivo de flor de corte
Cooperativa De Cafeteros Del Oriente,QUINDIO,CALLE 19 15 66 Cómo llegar,ARMENIA,8010019684,ORGANIZACION DE ECONOMIA SOLIDARIA
Semillas Valle S A,YUMBO,VALLE,(2)6668139,CARRERA 34 14 156 ACOPI YUMBO Cómo llegar,Cultivo de cereales (excepto arroz) legumbres y semillas oleaginosas
Cooperativa De Comercio Agropecuario,CARTAGO,VALLE,(2)2123733,CARRERA 2 3 49 Cómo llegar,Ganaderia
La Gaitana Farms Sas,COTA,CUNDINAMARCA,(1)4017000,VIA TENJO KM 3 Cómo llegar,Cultivo de flor de corte
Agropecuaria Alfa S A S,BOGOTA,BOGOTA,(1)4461066,CARRERA 63 14 75 Cómo llegar,Explotacion mixta (agricola y pecuaria)
Extractora Palmariguani S A,BARRANQUILLA,ATLANTICO,(5)3589250,CARRERA 54 75 45 LC 3 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Flexport De Colombia S A S,BOGOTA,BOGOTA,(1)4320340,CALLE 72 10 07 OF 601 Cómo llegar,Cultivo de flor de corte
Pardo Carrizosa Navas S A S,BOGOTA,BOGOTA,(1)3222725,CALLE 19 5 30 OF 2201 EDIFICIO BD BACATA Cómo llegar,Cultivo de flor de corte
Agropecuaria Tabaida S A S,MONTERIA,CORDOBA,(4)6041450,CARRERA 6 62 B 32 OF 405 ED SEXTA AVENIDA BRR CASTELLANA Cómo llegar,Explotacion mixta (agricola y pecuaria)
Angleton Group S A S,MEDELLIN,ANTIOQUIA,(4)3537128,CARRERA 25 1 A SUR 155 EDIFICIO PLATINUM SUPERIOR OF 1856 Cómo llegar,Explotacion mixta (agricola y pecuaria)
Bananeras De Uraba S A S,MEDELLIN,ANTIOQUIA,(4)5608350,CALLE 4 SUR 43 A 195 OFICINA 205 Cómo llegar,Cultivo de platano y banano
Compania Aero Agricola Integral S A S,CAREPA,ANTIOQUIA,(4)8243218,VIA EMBARCADERO PREDIO SAN SEBASTIAN KM 7 Cómo llegar,Actividades de apoyo a la agricultura
Consorcio Agricola Buenos Aires S A S,BOGOTA,BOGOTA,(1)2669536,CALLE 127 A 71 B 89 AP 302 BRR NIZA Cómo llegar,Cultivo de arroz
Piscano S A S,CALI,VALLE,(2)6594043,AVENIDA 6 A BIS 35 100 OF 712 Cómo llegar,Actividades de apoyo a la agricultura
Agrocerdos S A,PEREIRA,RISARALDA,(6)3272321,CARRERA 15 138 25 OF 209 EDIF ADMTVO CENTRO LOGISTICO EJE Cómo llegar,Cria de ganado porcino
Sociedad Agropecuaria La Gaira S A S,MEDELLIN,ANTIOQUIA,(4)4310405,CALLE 9 43 A 33 INT 314 Cómo llegar,Cultivo de platano y banano
Cultivos Casablanca S A S,BOGOTA,BOGOTA,(1)3222725,CALLE 19 5 30 OF 2201 EDIFICIO BD BACATA Cómo llegar,Cultivo de flor de corte
Geoflora S A S,BOGOTA,BOGOTA,3123210403,CALLE 95 71 31 T 4 APTO 1401 PARQUE CENTRAL PONTEVEDRA Cómo llegar,Cultivo de flor de corte
Flores De San Alejo S A S,TENJO,CUNDINAMARCA,3175679040,FINCA SAN ALEJO PUENTE PIEDRA PREDIO AYMARA Cómo llegar,Cultivo de flor de corte
Inversiones Tribilin S A S,ITAGUI,ANTIOQUIA,(4)4030080,CALLE 27 41 189 Cómo llegar,Cria de ganado porcino
Snf S A S,BOGOTA,BOGOTA,(1)3222725,CALLE 19 5 30 OF 2201 ED BD BACATA Cómo llegar,Cultivo de flor de corte
Salamanca Oleaginosas S A,CALI,VALLE,(2)5561183,CALLE 4 27 79 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Luker Agricola S A S,MANIZALES,CALDAS,(6)8879510,CARRERA 23 64 B 33 OF 601 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Agrovar S A S,BOGOTA,BOGOTA,3125849570,AVENIDA 19 118 30 OFICINA 609 Cómo llegar,Explotacion mixta (agricola y pecuaria)
Ball Colombia Ltda,BOGOTA,BOGOTA,(1)2182861,AVENIDA 82 7 22 OFICINA 101 201 Cómo llegar,Otros cultivos transitorios n c p
Agropecuaria La Tagua S A S,BOGOTA,BOGOTA,(1)3174700,CARRERA 9 77 67 OF 701 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Bananera De Exportacion S A,SANTA MARTA,MAGDALENA,(5)4217544,CARRERA 1 C 22 58 OFICINA 702 EDIFICIO BAHIA CENTRO Cómo llegar,Cultivo de platano y banano
Servicios Agricolas Y Pecuarios S A,ZARZAL,VALLE,3104014630,CARRERA 5 15 99 Cómo llegar,Cultivo de caña de azucar
Comercializadora De Pollos Santa Ana S A S,BOGOTA,BOGOTA,(1)5238043,TRANSVERSAL 60 115 58 CENTRO ILARCO TORRE C OFICINA 409 Cómo llegar,Cria de aves de corral
Cooperativa De Porcicultores Del Eje Cafetero,PEREIRA,RISARALDA,(6)3116565,LUGAR MERCASA EDIFICIO ADMINISTRATIVO OFICINA 403 Cómo llegar,Cria de ganado porcino
Porcival Colombia S A S,YUMBO,VALLE,(2)6933365,CALLE 15 32 450 Cómo llegar,Cria de ganado porcino
Frutales Las Lajas S A,ZARZAL,VALLE,3113298715,LUGAR KM 1 VIA ZARZAL CARTAGO Cómo llegar,Cultivo de frutas tropicales y subtropicales
