Empresa,Estado,Descripcion
EMPRESA INNOVADORA DE PRODUCTOS MEXICANOS SA DE CV,Tlajomulco de zuniga - Mexico,"Purificacion y embotellado de agua
Proveedor de:
Bebidas
Aguas y aguas minerales"
CAMPO REAL VINICOLA S.A.P.I. DE C.V.,Zacatecas - Mexico,"Elaboracion de bebidas alcoholicas a base de uva
Proveedor de:
Bebidas
Vino"
H. Pistache,Naucalpan de juarez - Mexico,"Heladeria artesanal de excelente calidad. Ademas de helados ofrecemos tartas. Una gran variedad de sabores. Envios a domicilio en la Ciudad de Mexico.
Proveedor de:
Helados y sorbetes
Tartas de helado
Pasteles y tartas..."
SERVICIOS INTEGRALES AMIKOO SA DE CV,Playa del carmen - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
RESTAURANT PLAYA SUR DE DURANGO SA DE CV,Durango - Mexico,"Comercio al por mayor de pescados y mariscos
Proveedor de:
Ganaderia y pesca
Peces marinos
Peces de agua dulce..."
Grupo Agroalimentario Don Villa S.A. de C.V. (Molinos Siglo XX),Los mochis - Mexico,"Molinos Siglo XX es una empresa con mucha tradicion familiar, la cual cuenta con mas de 70 anos trabajando con calidad y compromiso con los clientes, siendo lideres en el mercado de venta de harinas a base de trigo y maiz con la cual se elaboran bebidas tradicionales de la region como lo son la ceva... Ver su perfil
Proveedor de:
Alimentos deshidratados y liofilizados
Preparados en polvo para bebidas a base de leche"
ALPHABET DE MEXICO SA DE CV,Chihuahua - Mexico,"Fabricacion de maquinaria y equipo agricola
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Tractores para la agricultura
Maquinas para labrar la tierra, rastrilladores y gradas..."
"Productora y Comercializadora Agropecuaria y Forestal Flor de Canela SPR de RL, Empacadora Flor de Canela",Estado de mexico - Mexico,"Empacadora Flor de Canela, empresa dedicada a la produccion, empacado y distribucion de fruta de aguacate Hass Fresco, para mercado nacional e internacional.
Proveedor de:
Frutas tropicales y subtropicales
Aguacates"
CAF?LA FUENTE,Monterrey - Mexico,"Elaboracion de cafe tostado y molido
Proveedor de:
Alimentacion
Cafe y sucedaneos"
"APIARIOS DIVINA PROVIDENCIA, S. P. R. DE R. L.",Ensenada - Mexico,"Elaboracion de botanas
Proveedor de:
Alimentacion
Snacks salados"
SERVICIO DE ASPERSORAS Y MOTOSIERRAS SAN RAFA,San rafael - Mexico,"Reparacion y mantenimiento de maquinaria y equipo agropecuario y forestal
Proveedor de:
Servicios de instalacion y mantenimiento para equipos agricolas y silvicultura
Maquinaria y equipos para agricultura y silvicultura"
VETERINARIA LEONEL,Guadalajara - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
Pizza Artesanal Bassano,Ciudad nezahualcoyotl - Mexico,"Pizza Artesanal Bassano, te invita a disfrutar de nuestra gran variedad de Pizzas Gourmet, tambien nuestros deliciosos Snacks, Bagguette y de nuestras Pastas al estilo italiano.
Proveedor de:
Pan
Productos para la preparacion casera de pizza"
"CONURBADI, S.C.",Leon de los aldama (leon) - Mexico,"Servicios de arquitectura de paisaje y urbanismo
Proveedor de:
Agricultura y silvicultura
Servicios paisajistas
Disenadores de jardines, jardineros..."
"Control de Escapes Internacional, S.A. de C.V., COES",Veracruz - Mexico,"Somos una empresa 100% mexicana con mas de 25 anos de experiencia en la industria publica y privada en el mantenimiento industrial, con presencia en toda la Republica Mexicana y Latinoamerica, desde entonces nuestra actividad principal ha sido la prevencion y eliminacion de fugas o filtraciones, baj... Ver su perfil
Proveedor de:
Servicios de procesamiento de alimentos
Refinerias de azucar
Instalaciones y equipos para refinerias de petroleo..."
ROSALE SVERA CHRISTIAN,Tijuana - Mexico,"Purificacion y embotellado de agua
Proveedor de:
Bebidas
Aguas y aguas minerales"
Servicio Regiomontano en Herramienta S.A. de C.V.,Monterrey - Mexico,"Especialistas en Diseno y fabricacion de herramientas especiales para la industria, manejo de carburo tungsteno, afilado de herramientas, corte por electroerosionadora de hilo, maquinado de piezas para el area industrial, el area medica y el area residencial, venta de equipo para tratamiento, purifi... Ver su perfil
Proveedor de:
Herramientas de mano adiamantadas y de metal duro
Herramientas de tornear con plaquita de carburo
Piezas de desgaste de carburo de tungsteno..."
"Nayar, La Gloria",Tonala - Mexico,"Corte y empacado de carne de ganado, aves y otros animales comestibles
Proveedor de:
Alimentacion
Productos de matadero, no procesados"
DULCES IZA SA DE CV,Hidalgo del parral - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
TRANSPORTADORES Y EXPENDEDORES DE AGUA POTABLE SA DE CV,Santiago ixcuintla - Mexico,"Comercio al por mayor de bebidas no alcoholicas y hielo
Proveedor de:
Bebidas
Zumos de frutas
Limonada, gaseosas y bebidas sin alcohol..."
PANADERIA SAN CARLOS,Chihuahua - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
Uruapan Export S.A. de C.V. (GlobalFruitMexico),Uruapan - Mexico,"Productores y empacadores de Aguacacate. Mercado nacional y de exportacion. ?Necesita tener acceso directo y competitivo a la oferta de productos agroalimentarios en Mexico? En GlobalFruitMexico podemos ayudarle. ?Necesita abrir mercados internacionales y contar con un socio de negocios orientado a... Ver su perfil
Proveedor de:
Frutas tropicales y subtropicales
Aguacates"
"Milana Transportes & Logistica, M T&L",Metepec - Mexico,"Milana Transportes & Logistica es una empresa mexicana ubicada en el Estado de Mexico. Nuestra empresa gestiona y optimiza el transporte de sus productos a Mexico, America e internacionalmente. Especializados en transporte por carretera y logistica, controlamos toda su cadena de transporte, desd... Ver su perfil
Proveedor de:
Equipos para viticultura
Volquetes metalicos para transporte de uvas
Carretas y carretillas de manutencion..."
PANIFICADORA LA SULTANA,Teapa - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
MAVID MAQUILADORA SA DE CV,Guadalajara - Mexico,"Fabricacion de enseres electrodomesticos menores
Proveedor de:
Higiene y limpieza
Aparatos sanitarios, electricos
Aspiradoras..."
MAXICHILES,Guadalajara - Mexico,"Congelacion de guisos y otros alimentos preparados
Proveedor de:
Alimentacion
Comidas precocinadas, ultracongeladas"
VETERIANRIA,Queretaro - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
M Food Ingredients,Tlajomulco de zuniga - Mexico,"Nos dedicamos a la elaboracion de ajo en pasta, chiles en polvo, especias y aceites esenciales.
Proveedor de:
Tuberculos y rizomas vegetales
Ajo
Verduras de frutas..."
CONSULTORIA AMBIENTAL Y FORESTAL,Chihuahua - Mexico,"Reparacion y mantenimiento de maquinaria y equipo agropecuario y forestal
Proveedor de:
Servicios de instalacion y mantenimiento para equipos agricolas y silvicultura
Maquinaria y equipos para agricultura y silvicultura"
Sanitizadores Manaaki Mexico,Cuautitlan izcalli - Mexico,"Distribucion de productos sanitizantes: Gel antibacterial, Jabon antiseptico, Jabon antibacterial, Sanitizante para piel y superficies, Jabon desinfectante para manos Sanitizante clorado (Consentrado) para superficies
Proveedor de:
Jabon, productos de limpieza y detergentes, ecologicos, organicos
Sistemas de conmutacion de telecomunicaciones
Servicio de distribucion local multipunto (LMDS)..."
FTPSA SA DE CV,Tequila - Mexico,"Elaboracion de bebidas destiladas de agave
Proveedor de:
Tequila
Aguardientes y bebidas espiritosas
Bebidas"
Macetas Guadalajara,Guadalajara - Mexico,"Venta de macetas de barro de gran calidad y resistencia, contamos con tienda online en donde podra adquirir nuestros productos de manera rapida y confiable.
Proveedor de:
Arbustos ornamentales
Macetas"
CLINICA VETERINARIA VANIT,Apodaca - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CLINICA VETERINARIA SPAIK,Gomez palacio - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
VINESP MEXICO SA DE CV,Zapopan - Mexico,"Elaboracion de condimentos y aderezos
Proveedor de:
Alimentacion
Vinagre y salsas vinagretas
Condimentos y salsas"
PANIFICADORA Y DISTRIBUIDORA EL ROBLE SA DE CV,Ramos arizpe - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
QUESERIA CHIHUAHUITA SA DE CV,Chihuahua - Mexico,"Comercio al por mayor de leche y otros productos lacteos
Proveedor de:
Alimentacion
Leches
Alimentos, bebidas y tabaco (al por mayor)..."
"Price Refrigeracion Comercial, S.A. de C.V., PRICE REFRIGERACION",Ciudad de mexico - Mexico,"Compra Venta de equipo de refrigeracion y maquinaria comercial, renta, servicios y mantenimiento.
Proveedor de:
Muebles de cocina
Refrigeradores, frigorificos
Vitrinas refrigeradas..."
SERVICIOS DE COSECHA VILLEGAS SA DE CV,Uruapan - Mexico,"Beneficio de productos agricolas
Proveedor de:
Agricultura y silvicultura
Servicios de conservacion y envasado de productos agricolas
Servicios de tratamientos de productos agricolas"
"AIAX EP S de R.L. de C.V., AIAX EP",Tultitlan - Mexico,"AiaxEP desea ponerse a sus ordenes para la realizacion de sus proyectos, en los cuales se demande tanto del diseno de sistemas, como de la fabricacion de equipo de proceso, ya que contamos con amplia experiencia en los sectores quimico, petroquimico, farmaceutico y alimenticio, ofreciendo productos... Ver su perfil
Proveedor de:
Equipos de almacenamiento de gas
Tanques de almacenamiento de gas de alta presion
Consultores de control de emisiones y contaminacion del aire..."
BIMBO. SA DE CV,Morelia - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
UNIVERSAL SECURITY GROUP MEXICO SA DE CV,Guadalajara - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
PANADERIA HONO,Tampico - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
"Coco imperial, Coco Imperial",Ciudad de mexico - Mexico,"Proveedor de:
Productos alimenticios a base de coco
Zumos de frutas
Zumos de coco"
VETERINARIA PET`S,Toluca de lerdo - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
"La Casa Funcional Mexico SAS de CV, La Casa Funcional",Cuernavaca - Mexico,"Nos dedicamos a la construccion y al mantenimiento residencial en el estado de Morelos. Dentro de los servicios que ofrecemos esta el de la arquitectura, construccion, supervision de obra, albanileria, diseno de jardines, sistemas de riego, pintura, impermeabilizacion, construccion de albercas, aire... Ver su perfil
Proveedor de:
Empresas de trabajos de irrigacion, pozos, manantiales y abastecimiento de agua
Contratistas para instalaciones hidraulicas y suministro de agua
Empresas de construccion..."
EJE3 DE COAHUILA SA DE CV,Saltillo - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
"Cafeco Agroindustrial del Pacifico, S.A. de C.V.",Miguel hidalgo - Mexico,"Somos una empresa mexicana, con mas de 40 anos de experiencia y de compromiso con los cafeticultores. Apoyamos a las regiones de acopio, impulsando el desarrollo socioeconomico de las comunidades cafeticultoras... con las que trabajamos a traves de programas de capacitacion, asistencia tecnica, rejuve... Ver su perfil
Proveedor de:
Servicios de recoleccion
Servicios de recoleccion de cafe
Servicios de tratamientos de productos agricolas..."
RENOBAT BATERIAS REACONDICIONADAS,Puebla (heroica puebla) - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
"Nettissimo SA DE CV, Nettissimo",Ciudad de mexico - Mexico,"Somos una empresa de soluciones profesionales en limpieza, contamos con equipos, insumos, refacciones y soporte; atendemos los sectores industrial, comercial y de gobierno.Somos representantes exclusivos en Mexico de las marcas italianas COMAC Y TMB reconocidas mundialmente por su rendimiento, durab... Ver su perfil
Proveedor de:
Jabon, productos de limpieza y detergentes, ecologicos, organicos
Pulidora electrica
Maquinaria y equipos para limpiar carreteras..."
GALLETAS CARMELITA SA DE CV,Morelia - Mexico,"Elaboracion de galletas y pastas para sopa
Proveedor de:
Alimentacion
Pastas alimenticias
Galletas y crackers"
GALLETITAS,Zapopan - Mexico,"Panificacion tradicional
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
"PANIFICADORA EL TRILLO, S.R.L. M.I.",Orizaba - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
VaporMex,Playa del carmen - Mexico,"VaporMex ofrece servicio al cliente e informacion para la comunidad vape mexicana.
Proveedor de:
Tabaco y productos del tabaco"
DISTRIBUIDORA DE GRANOS ARCOS SA DE CV,Cordoba - Mexico,"Elaboracion de galletas y pastas para sopa
Proveedor de:
Alimentacion
Pastas alimenticias
Galletas y crackers"
"SIERRA MADRE HOSPITAL VETERINARIO, S.C.",San pedro garza garcia - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
DOS MATAS S. DE P.R. DE R.L.,Oaxaca (oaxaca de juarez) - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
TONICO VUELVE A LA VIDA,Autlan de navarro - Mexico,"Purificacion y embotellado de agua
Proveedor de:
Bebidas
Aguas y aguas minerales"
Cocona Bananas Premium (Carlos Mendez),Teapa - Mexico,"Ventas de bananos por cajas de carton, Rejas de plastico, guacal de madera, por rabon, por trailers o por contenedor o al gusto del cliente, solo pregunte Bananos de calida para Nacional y de Exportacion, Ventas de Bananos 1era Nacional, Venta de bananos RC (Racimo Completo) venta de Bananos para ex... Ver su perfil
Proveedor de:
Frutas tropicales y subtropicales
Platanos"
DEPOSITO GUADALAJARA,Ciudad sabinas - Mexico,"Comercio al por mayor de cerveza
Proveedor de:
Cervezas
Bebidas
Alimentos, bebidas y tabaco (al por mayor)..."
HORCHATA TEAPAN,Teapa - Mexico,"Elaboracion de concentrados, polvos, jarabes y esencias de sabor para bebidas
Proveedor de:
Concentrados para gaseosas
Bebidas
Limonada, gaseosas y bebidas sin alcohol..."
DISTRIBUIDORA DE GASES INDUSTRIALES Y MEDICINALES SA DE CV,Puebla (heroica puebla) - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
Maquinaria Barlovento,Cuautitlan izcalli - Mexico,"Fabricacion, venta de maquinaria para industria alimenticia Tostadores, descascarilladores, molinos, molinos pulverizadores, despulpadoras, deshidratadoras, secadores, de alimentos, frutas, vegetales, granos, creales, semillas, herbolaria, raices, cortezas... Ver su perfil
Proveedor de:
Maquinaria y equipos para la industria alimentaria NES
Maquinaria y aparatos para la fabricacion de alimentos extruidos"
COMERCIALIZADORA PROFESIONAL MEXICANA SA DE CV,Puebla (heroica puebla) - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
CONSORCIO SUPER SA DE CV,Guadalajara - Mexico,"Elaboracion de alimentos para animales
Proveedor de:
Alimentacion
Piensos y alimentos para animales"
COMERCIAL AGR?OLA EL SOL SA DE CV,Pabellon de arteaga - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
"Aqualina-T Agua Purificada y Alcalina Queretaro, Aqualina-T (Agua Purificada y Alcalina Queretaro)",Santiago de queretaro - Mexico,"Somos una empresa 100% queretana, nos especializamos en purificacion y alcalinizacion de agua de la mas alta calidad para el bienestar de nuestros clientes, comprometidos en brindar un servicio premier.El servicio que ofrecemos es personalizado, ya que nuestro objetivo es adaptarnos a tus necesidade... Ver su perfil
Proveedor de:
Bebidas enlatadas, embotellas o en otros envases
Agua de mesa enlatada y embotellada"
"Plasticos Reforzados de Mexico, PLASTICOS REFORZADOS DE MEXICO",Tlalnepantla - Mexico,"Tenemos 55 anos de experiencia en la fabricacion de equipo industrial de plastico reforzado de fibra de vidrio (PRFV) en Mexico. Fabricamos: Tanques para almecenamiento industrial, tinas, lavaderos, reactores, tuberia, mesas, sillas, rejilla moldeada, rejilla pultruida (tipo irving), bridas, entrada... Ver su perfil
Proveedor de:
Articulos de plastico reforzado con fibra de vidrio
Depositos de plastico reforzado con fibra de vidrio
Depositos de plastico reforzado con fibra de vidrio. con compartimientos..."
Reach Mx,Hermosillo - Mexico,"En Reach Mx queremos ser tu aliado estrategico en Mexico. Llevano lo mejor de nuestro pais al mundo.
Proveedor de:
Sidras
Sidras dulces"
COMERCIALIZADORA Y URBANIZADORA FFK SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
"Cosmeceutical Livecells, Cosmeceutical Live cells (Karla)",Zapopna jalisco - Mexico,"Somos una empresa biotecnologica lider en la dermocosmetica especializada en el proceso y cultivo de celulas madre mesenquimales humanas, las cuales tienen un presente y un futuro prometedor en el area de la medicina regenerativa.
Proveedor de:
Productos para el cuidado personal y cosmeticos, organicos, ecologicos
Cosmeticos y maquillaje, organicos"
