Empresa,Descripcion,Direccion,Telefono
AGRI AUTO,"venta de refacciones para tractores agricolas de las marcas mas importantes como: massey ferguson, ford, john deere, case, new holland. tienda ubicada en guadalajara, podemos enviar a cualquier parte del pais.","ESTADIO 89 , LAS CONCHAS, GUADALAJARA , Jalisco",33 3635 1172
OMEGA DRONE SINALOA,venta de drones para agricultura en sinaloa. comunicate con nosotros y encuentra los mejores drones para agricultura a los mejores precios https://omegadrone.com.mx/drones-para-agricultura realizamos envios a toda la republica mexicana https://goo.gl/maps/snhelanshjbxje7r9,"AV. GABRIEL LEYVA S/N, ESQUINA CON RODOLFO T. LOAIZA , CENTRO, AHOME , Sinaloa",667 287 0110
PRONSUPLE,"suplementos alimenticios 100 naturales los cuales te brindan energia, aminoacidos, antioxidantes, hierro vitaminas que te ayudan a tener una mejor calidad de vida dando la energia y equilibrio a tu organismo","AMADO NERVO # 13 ESQ. CIRCUITO C.P. 11360 , AGRICULTURA, MIGUEL HIDALGO , CIUDAD DE MEXICO (antes Distrito Federal)",55 2117 8692
OMEGA DRONE,venta de drones y servicios de agricultura con drones en michoacan: fumigacion con drones y analisis de cultivos con drones. comunicate con nosotros.,"MANUEL MUNIZ # 64 , CENTRO, MORELIA , Michoacan",443 454 0449
OMEGA DRONE,"venta de drones y servicios de agricultura en puebla. comunicante con nosotros, realizamos envios a toda la republica mexicana. ","C. 39 # 3515, C.P. 72400 , TRIANGULO DE LAS ANIMAS, PUEBLA DE ZARAGOZA , Puebla",222 454 2581
OMEGA DRONE,"somos especialistas en venta de drones en mexico y drones para agricultura. contamos con la experiencia y conocimientos de bases aeronauticas para brindarte el mejor servicio y asesoria para cubrir tus necesidades como: venta de drones, venta de accesorios dji para drones, drones para agricultura, drones para fumigacion y mas.","BLVD. BERNARDO QUINTANA # 23 ENTRADA POR AILE # 2, PISO 2 , ALAMOS 2A. SECCION, QUERETARO , Queretaro",442 454 5394
MUDANZAS HERNANDEZ,"servicio de fletes y mudanzas local y foraneo las 24 hora, los 365 dias del ano.","AGRICULTURA S/N, FRENTE AL MERCADO ESCANDON SITIO #60, ENTRE JOSE MARTI Y PROGRESO , ESCANDON, MIGUEL HIDALGO , CIUDAD DE MEXICO (antes Distrito Federal)",CELS. 55 1005 1304 Y 56 1175 8849
CARNICOS PAYA,"venta de borrego criollo, menudos, panzas preparadas, machitos, cabrito y patas peladas.","AV. DE LAS GRANJAS # 800, A UN COSTADO DE LA ARENA , SANTA BARBARA, AZCAPOTZALCO , CIUDAD DE MEXICO (antes Distrito Federal)",55 1800 1986
TWINDROPS CORP,"tecnologia y asesoramiento agricola; diseno e instalacion de sistemas de riego,fabricacion e importacion de invernaderos y diseno e instalacion de proyectos fotovoltaicos. uso responsable y eficiente de los recursos naturales agua, tierra y sol con el objetivo de hacer grande el campo mexicano.","CARRETERA CELAYA - SAN MIGUEL KM 4 , PRADERAS DE LA HACIENDA, CELAYA , Guanajuato",461 150 1450
PENTACOM,comercializamos y distribuimos la mejor calidad en equipos de registro y monitoreo industrial. nuestros productos: sensores registradores software microestaciones cables dispositivos equipos aplicaciones nuestras soluciones: agricultura e invernaderos energia farmaceutica interiores acuacultura e hidrologia colores edificios industria.,"MELCHOR OCAMPO # 19, INT. 204, C.P. 01090 , TIZAPAN, ALVARO OBREGON , CIUDAD DE MEXICO (antes Distrito Federal)",55 5550 5604
AGRICOMPRA,"insumos agricolas, insumos de campo, nutricion vegetal, mallas, invernaderos, ferreteria, organicos, tecnologia agricola, maquinaria agricola, equipo agricola.","PASEOS DE LOS LAURELOS # 3965, C.P. 80100 , CONTRY ALAMOS, CULIACAN , Sinaloa",CEL: 667 334 1075
TRANSPORTES DE MAQUINARIA MARTINEZ,"transporte de maquinaria pesada fletes de maquinaria pesada para la construccion, mineria y agricultura contamos con excelentes precios. transportamos: retroexcavadoras motoniveladoras, excavadoras, motoconformadoras, tractores cargadores frontales, traxcavos pavimentadoras, elevadores de personal, barredoras, zanjadoras, trasladamos la maquinaria que desees, contamos con un excelente servicio.","3 NORTE # 104, C.P. 75250 , STA. CRUZ AJAJALPAN, TECALI DE HERRERA , Puebla",CEL: 223 101 0647
"CABLES Y CONTROLES MEZER DE MEXICO, S. DE R.L. DE C.V.","     cables y controles  mezer de mexcio, s. de r. l. de c.v., somos una empresa 100 % mexicana, ubicada en la ciudad de mexico, con mas de 25 anos de experiencia en el ramo automotriz, brindamos servicio personalizado en ensamble y diseno de cables push-pull para sistemas mts para cables, somos ensambladores certificados con cobertura nacional de repuestos originales.brindamos servicio personalizado en:disenoensamble reparacion de cables tipo push -pull y de todos los e...","CUAUHTEMOC # 271, C.P. 02910 , ALDANA, AZCAPOTZALCO , CIUDAD DE MEXICO (antes Distrito Federal)",55 6550 2366 Y 55 8488 0777
BIORGANIX,"analisis de laboratorio para el sector alimenticio, agricola y cuidado de la salud estudios de efectividad.","AIERA # 240, C.P. 25903 , PARQUE INDUSTRIAL, RAMOS ARIZPE , Coahuila",844 488 2627
